Companies	Details
Designation	Chief Executive Officer
Company	TPL Corp Limited
Address	"12th Floor, Centrepoint , Off: Shaheed-e-Millat Expressway, Near KPT Interchange,Karachi"
Phone	021-34390300
Phone 2	021-111-000-300
Fax	021-35316032
Date of Listing	16/07/2012
Email	info@tplcorp.com
URL	www.tplcorp.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Sarwar Ali Khan
Designation	Chief Executive Officer
Company	TPL Trakker Limited
Address	"Plot No. 1-A, Secton 24, Near Shaan Chowrangi, , Korangi Industrial Area, Korangi Township,Karachi"
Phone	021-34390300
Phone 2	021-111-000-300
Fax	021-35316032
Date of Listing	10/08/2020
Email	info@trakker.com.pk
URL	www.tpltrakker.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Hasnain Aslam
Designation	Chief Executive Officer
Company	TRG Pakistan Limited
Address	"24th Floor, Sky Tower, West Wing, Dolmen, HC-3, , Block 4, Marine Drive, Clifton,Karachi"
Phone	021-35805894-5
Phone 2	021-111-874-874
Fax	021-35184042
Date of Listing	14/07/2003
Email	company.secretary@trgworld.com
URL	www.trgpcorp.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Babar Ali Syed
Designation	Chief Executive Officer
Company	Worldcall Telecom Limited
Address	"WorldCall Head Office : Plot No. 112-113, Block S, , Quaid-e-Azam Industrial Estate, Kot Lakhpat,,Lahore"
Phone	042-35400609
Phone 2	"042-35400544, 111-111-985"
Fax	042-35400609
Date of Listing	28/09/2005
Email	company.secretary@worldcall.pk
URL	www.worldcall.com.pk
Registrar	THK Associates (Private) Limited
	
	
Ahmad Hassan Textile Mills Limited	
Representative	Mr. Muhammad Haris
Designation	Chief Executive
Company	Ahmad Hassan Textile Mills Limited
Address	"46-Hassan Parwana Colony , ,Multan"
Phone	4512933-4512362
Phone 2	
Fax	4512361
Date of Listing	04/05/1992
Email	sec@ahtml.com.pk
URL	www.ahtml.com.pk
Registrar	Vision Consulting Limited
	
Representative	Mr. Ahmed Humayun Shaikh
Designation	Chief Executive Officer
Company	Azgard Nine Limited
Address	"Ismail Aiwan-e-Science , Off: Shahrah-e-Jalaluddin Roomi,Lahore"
Phone	"042-35751515, 35761794"
Phone 2	042-111-786-645
Fax	042-35761791
Date of Listing	27/02/1996
Email	info@azgard9.com
URL	www.azgard9.com
	
Representative	Mr. Aizad Amer
Designation	Chief Executive Officer
Company	AN Textile Mills Limited
Address	"35-K.M. Sheikhupura Road , Tehsil Jaranwala,Faisalabad"
Phone	041-4713183 - 4713185
Phone 2	
Fax	041-4713184
Date of Listing	08/03/1989
Email	"cs@antextile.com.pk, info@antextile.com.pk"
URL	www.antextile.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Faisal Khan
Designation	Chief Executive Officer
Company	Aruj Industries Limited
Address	"Aruj House , 1-K.M. Raiwind Road,Lahore"
Phone	"(042)35393125-6, 35432431-4"
Phone 2	(042)35304856-9
Fax	(042) 35393127-5432435-5304855
Date of Listing	07/06/1994
Email	info@aruj.com
URL	www.aruj.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Khurrum Saleem
Designation	Chief Executive
Company	Bhanero Textile Mills Limited
Address	"Umer House, 23/1, Sector-23, S.M. Farooq Road , Korangi Industrial Area,Karachi"
Phone	021-35115177-80
Phone 2	
Fax	"021-35115190-91, 35063002-3"
Date of Listing	06/02/1989
Email	khioff@umergroup.com
URL	www.umergroup.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Mohammad Amin
Designation	Chief Executive
Company	Blessed Textiles Limited
Address	"Umer House, 23/1, Sector-23, S.M. Farooq Road , Korangi Industiral Area,Karachi"
Phone	35115177-80
Phone 2	
Fax	"35063002-3, 35115190-91"
Date of Listing	14/01/1991
Email	khioff@umergroup.com
URL	www.umergroup.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mian Muhammad Latif
Designation	Chief Executive
Company	Chenab Limited
Address	"Nishatabad , ,Faisalabad"
Phone	(041)8754472-76
Phone 2	
Fax	(041)8752400-8752700
Date of Listing	01/11/2004
Email	chenab@chenabgroup.com
URL	www.chenabgroup.com
	
Representative	Mr. Muhammed Anwar
Designation	Chief Executive Officer
Company	The Crescent Textile Mills Limited
Address	"Mills Premises , Sargodha Road,Faisalabad"
Phone	041-111-105-105
Phone 2	
Fax	041-8786525
Date of Listing	01/11/1959
Email	crestex@ctm.com.pk
URL	www.ctm.com.pk
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Bilal Sharif
Designation	Chief Executive
Company	Faisal Spinning Mills Limited
Address	"Umer House, 23/1, Sector-23, S.M. Farooq Road , Korangi Industrial Area,Karachi"
Phone	021-35115177-80
Phone 2	
Fax	021-35115190- 35063002-03
Date of Listing	24/02/1992
Email	khioff@umergroup.com
URL	www.umergroup.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Rehan Rahman
Designation	Chief Executive
Company	Feroze1888 Mills Limited
Address	"160, Banglore Town , Shara-e-Faisal,Karachi"
Phone	021-38403758-9
Phone 2	
Fax	
Date of Listing	10/06/1975
Email	info@feroze1888.com
URL	www.feroze1888.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Rauf Alam
Designation	Chairman/Chief Executive
Company	Fateh Sports Wear Limited
Address	"442 Mirpurkhas Road , Hyderabad,Hyderabad"
Phone	22-3886263-7
Phone 2	
Fax	22-3886268
Date of Listing	24/09/1991
Email	fswl@fateh1.com
URL	www.fatehindustriesgroup.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Muhammad Saleem
Designation	Chief Executive
Company	Fateh Textile Mills Limited
Address	"A/4, Hali Road , S.I.T.E.,Hyderabad"
Phone	3880463-66
Phone 2	
Fax	(022)3880042- 3880514
Date of Listing	12/05/1961
Email	info@fateh-group.com
URL	www.ftml.com.pk
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Rehman Naseem
Designation	Chief Executive Officer
Company	Fazal Cloth Mills Limited
Address	"59/3, Abdali Road , ,Multan"
Phone	061-4579001-7
Phone 2	061-4781637
Fax	061-4541832
Date of Listing	01/12/1970
Email	shares@fazalcloth.com
URL	www.fazalcloth.com
Registrar	Vision Consulting Limited
	
Representative	Mr. Muhammad Zaki Bashir
Designation	Chief Executive Officer
Company	Gul Ahmed Textile Mills Limited
Address	"Plot No. 82, Main National Highway , Landhi,Karachi"
Phone	021-35018831-34
Phone 2	021-111-485-485
Fax	021-35018836-38
Date of Listing	17/06/1970
Email	finance@gulahmed.com
URL	www.gulahmed.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Mohammad Arshad Chaudhry
Designation	Chief Executive
Company	Ghazi Fabrics International Limited
Address	"8-C, E/III, , Gulberg-III,Lahore"
Phone	042-35764026-35764027-28
Phone 2	
Fax	042-35764032
Date of Listing	13/01/1992
Email	info@ghazifabrics.com
URL	www.ghazifabrics.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Jillani Jahangir
Designation	Chief Executive
Company	Hala Enterprises Limited
Address	"120-E-1, , Gulberg-III,Lahore"
Phone	042-35761585-6
Phone 2	
Fax	042-35710235
Date of Listing	09/12/1991
Email	hala@halaenterprises.com
URL	www.halaenterprises.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Fakhruddin Usmani
Designation	Managing Director
Company	Hafiz Limited
Address	"97, Alliance Building, 2nd Floor , Off: Mereweather Tower, Moolji Street,Karachi"
Phone	021-32440371-32432896
Phone 2	
Fax	021-32440372
Date of Listing	12/12/1954
Email	htm1951@hotmail.com
URL	www.hafiztm.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Khawar Almas Khawaja
Designation	Chief Executive Officer
Company	Hamid Textile Mills Limited
Address	"Suit # 1, 1st Floor, Shan Arcade, Barkat Market , New Garden Town,Lahore"
Phone	"042-35889431,35868929"
Phone 2	042-35881664
Fax	042-35889358
Date of Listing	28/01/1991
Email	"accounts@hamid-textile.com, htm@ms.net.pk"
URL	www.hamid-textile.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Husein Aziz Jamal
Designation	Chief Executive
Company	Husein Industries Limited
Address	"Plot No. HT-8 , Landhi Industrial & Trading Estate,Karachi"
Phone	021-35018536-38
Phone 2	
Fax	021-35018545
Date of Listing	15/06/1953
Email	sales@husein.com
URL	www.husein.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Navid Fazil
Designation	Chief Executive Officer
Company	Interloop Limited
Address	"Al-Sadiq Plaza , P-157, Railway Road,Faisalabad"
Phone	041-2619724
Phone 2	
Fax	041-2639400
Date of Listing	05/04/2019
Email	aliraza.rana@interloop.com.pk
URL	www.interloop-pk.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Naeem Shafi
Designation	Chief Executive
Company	International Knitwear Limited
Address	"F-2A/L , S.I.T.E.,Karachi"
Phone	021-32574304
Phone 2	
Fax	021-32564414
Date of Listing	08/02/1994
Email	contact@internationalknitwear.com
URL	www.internationalknitwear.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Shams Rafi
Designation	Chief Executive
Company	Jubilee Spinning & Weaving Mills Ltd.
Address	"503-E, Johar Town , ,Lahore"
Phone	042-111-245-245
Phone 2	
Fax	042-111-222-245
Date of Listing	28/03/1975
Email	jubilee@cresplus.com
URL	www.jsw.com.pk
Registrar	Vision Consulting Limited
	
Representative	Mr. Jehangir Anwar
Designation	Chief Executive
Company	Kaiser Arts & Krafts Limited
Address	"Suit # 204, Amber Estate, 2nd Floor , Main Shahrah-e-Faisal,Karachi"
Phone	021-34390171-2
Phone 2	
Fax	021-34546327
Date of Listing	30/01/1996
Email	kakl@cyber.net.pk
URL	
Registrar	
	
Representative	Mr. Adam Jadoon
Designation	Chief Executive
Company	Khyber Textile Mills Limited
Address	"Baldher. , District Haripur,,Haripur"
Phone	0995-655048
Phone 2	
Fax	
Date of Listing	10/09/1962
Email	info@khybertextile.com
URL	www.khybertextile.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Aamir Fayyaz Sheikh
Designation	Chief Executive
Company	Kohinoor Mills Limited
Address	"8th K.M. Manga-Raiwind Road , District Kasur,Kasur"
Phone	042-3639340
Phone 2	111-941-941
Fax	042-35395064 & 65
Date of Listing	22/01/1990
Email	info@kohinoormills.com
URL	www.kohinoormills.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Muhammad Zeid Yousuf Saigol
Designation	Chief Executive
Company	Kohinoor Industries Limited
Address	"17-Aziz Avenue, Canal Bank , Gulberg-V,Lahore"
Phone	"042-35717364-65, 35718274-75"
Phone 2	
Fax	042-35762707-35715105
Date of Listing	26/08/1957
Email	saigolgroup@saigols.com
URL	www.saigols.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Taufique Sayeed Saigol
Designation	Chief Executive
Company	Kohinoor Textile Mills Limited
Address	"42, Lawrence Road , ,Lahore"
Phone	042-36302261-36302262
Phone 2	
Fax	042-36368721
Date of Listing	01/03/1971
Email	
URL	www.kmlg.com
Registrar	Vision Consulting Limited
	
Representative	Khawaja Mohammed Iqbal
Designation	Chief Executive
Company	Mahmood Textile Mills Limited
Address	"Meher Manzil , Lohari Gate,Multan"
Phone	061-511158-59
Phone 2	061-111-181-181
Fax	061-4511262-4549711
Date of Listing	22/10/1973
Email	mtm@mahmoodgroup.com
URL	www.mahmoodgroup.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Ms. Sabiha Sumar
Designation	Chief Executive
Company	Mohammad Farooq Textile Mills Limited
Address	"56-B, 5th Floor, Fareed Chamber , Abdullah Haroon Road, Saddar,Karachi"
Phone	021-35630478
Phone 2	
Fax	021-35630478
Date of Listing	18/08/1968
Email	mftml@cyber.net.pk
URL	
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Shahid Nazir Ahmad
Designation	Chief Executive Officer
Company	Masood Textile Mills Limited
Address	"Universal House, 17/1, New Civil Lines , Bilal Road,Faisalabad"
Phone	041-2600176-276
Phone 2	
Fax	041-2600976
Date of Listing	20/07/1988
Email	hamidali@masoodtextile.com
URL	www.masoodtextile.com
	
Representative	Mr. Zulfiqar Ali
Designation	Chief Executive
Company	Mubarak Textile Mills Limited
Address	"20-KM Off: Ferozepur Road , ,Lahore"
Phone	42-35950674
Phone 2	
Fax	42-35950675
Date of Listing	18/05/1994
Email	mubarak_textile@yahoo.com
URL	www.mtmpk.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Shahzad Saleem
Designation	Chief Executive Officer
Company	Nishat Chunian Limited
Address	"31-Q, , Gulberg-II,Lahore"
Phone	042-35761730-39
Phone 2	
Fax	042-35878696-97
Date of Listing	14/10/1991
Email	info@nishat.net
URL	www.nishat.net
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Waqar A. Sattar
Designation	Chief Executive
Company	Nina Industries Limited
Address	"SF Unit No. 89, , S. I. T. E. Area,,Karachi"
Phone	"021-32575043-46,3 2575571-73"
Phone 2	021-38114001
Fax	021-32562315-32562319
Date of Listing	29/10/1997
Email	contact@nina-industries.com
URL	www.ninaindustries.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mian Umer Mansha
Designation	Chief Executive Officer
Company	Nishat Mills Limited
Address	"Nishat House , 53-A, Lawrence Road,Lahore"
Phone	"042-36367812-15, 36360154"
Phone 2	111-113-333
Fax	042-36367414
Date of Listing	27/11/1961
Email	nishat@nishatmillsltd.com
URL	www.nishatmillsltd.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Sohail Maqsood
Designation	Chief Executive
Company	Paramount Spinning Mills Limited
Address	"2nd Floor Finlay House , I. I. Chundrigar Road,Karachi"
Phone	021-32419947-32419943
Phone 2	021-111-200-2000
Fax	021-32411559
Date of Listing	29/07/1991
Email	khi@gulistangroup.com.pk
URL	www.gulistangroup.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Tariq Iqbal
Designation	Chief Executive
Company	Quetta Textile Mills Limited
Address	"Ground Floor, Nadir House , I. I. Chundrigar Road,Karachi"
Phone	021-32414334-6
Phone 2	
Fax	021-32419593
Date of Listing	23/04/1971
Email	sales@quettagroup.com
URL	www.quettagroup.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Ms. Sarah Saif Khan
Designation	Chief Executive
Company	Redco Textiles Limited
Address	"Redco Arcade , 78-E, Blue Area,Islamabad"
Phone	051-2271362-65
Phone 2	051-2344252-5
Fax	"051-2274336, 2344256"
Date of Listing	16/06/1993
Email	sales@redcogroup.com
URL	www.redcogroup.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Fazal Ahmed
Designation	Chief Executive Officer
Company	Reliance Weaving Mills Limited
Address	"2nd Floor, Trust Plaza , L.M.Q. Road,Multan"
Phone	061-4512031-32
Phone 2	4546238
Fax	"061-4584288, 4511267"
Date of Listing	21/07/1992
Email	reliance.finance@fatima-group.com
URL	www.fatima-group.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Nadeem Abdullah
Designation	Chief Executive
Company	Sapphire Textile Mills Limited
Address	"212, Cotton Exchange Building , I. I. Chundrigar Road,Karachi"
Phone	32410930
Phone 2	111-000-100
Fax	32416705-32417418
Date of Listing	15/08/1971
Email	sapphire@khi.compol.com
URL	www.sapphire.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Nasir Hussain
Designation	Chief Executive
Company	Schon Textiles Limited
Address	"Schon Centre , I. I. Chundrigar Road,Karachi"
Phone	2636000 (10 lines)
Phone 2	2630779
Fax	2636325
Date of Listing	24/09/1991
Email	raeesasghar@hotmail.com
URL	
Registrar	
	
Representative	Mr. Syed Tarique Hussain
Designation	Chief Executive
Company	Safa Textiles Limited
Address	"Plot 26, 26/1, Sector 12-D , North Karachi Industrial Area,,Karachi"
Phone	021-36995931-3698047
Phone 2	021-36945268-3656647
Fax	021-36958962
Date of Listing	01/02/1994
Email	safatx@cyber.net.pk
URL	www.safatextile.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Shahid Abdullah
Designation	Chief Executive
Company	Sapphire Fibres Limited
Address	"149, Cotton Exchange Building , I. I. Chundrigar Road,Karachi"
Phone	111-000-100
Phone 2	32410930
Fax	32416705-32417418
Date of Listing	12/11/1990
Email	karachi.office@sapphire.com.pk
URL	
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Khalid Bashir
Designation	Chief Executive
Company	Shams Textile Mills Limited
Address	"7-B/III Marina Homes , Aziz Avenue, Gulberg-V,Lahore"
Phone	042-111-726-780
Phone 2	042-35760379-81
Fax	042-35760376
Date of Listing	14/03/1970
Email	info@shams.com.pk
URL	www.shams.com.pk
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Nadeem Maqbool
Designation	Chief Executive Officer
Company	Suraj Cotton Mills Limited
Address	"7-B-III, , Aziz Avenue, Gulberg-V,Lahore"
Phone	042-35760381
Phone 2	
Fax	042-35760376
Date of Listing	05/10/1988
Email	naeem.sheikh@suraj.com
URL	www.suraj.com
Registrar	Corptec Associates (Private) Limited
	
Representative	Mian Jahangir Elahi
Designation	Chairman & Chief Executive
Company	Taj Textile Mills Limited
Address	"Office-1, First Floor, K-1, Commercial Zone , K-Block, Model Town,Lahore"
Phone	042-35916650-3
Phone 2	
Fax	042-35916654
Date of Listing	09/10/1989
Email	elahifi@brain.net.pk
URL	
Registrar	Corplink (Pvt) Limited
	
Representative	Ms. Mehreen Obaid Agha
Designation	Chief Executive
Company	Towellers Limited
Address	"Towellers House, WSA-30-31 , Block 1, Federal 'B' Area,Karachi"
Phone	021-6325500-6326500
Phone 2	021-6326600-6322500
Fax	021-6314884-6312442
Date of Listing	28/03/1995
Email	towellers@cyber.net.pk
URL	www.towellers.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Noor Qadir
Designation	Chief Executive
Company	Usman Textile Mills Limited
Address	"Suit No.406, 4th Floor, Trade Centre , I.I. Chundrigar Road,Karachi"
Phone	021-32211325-26
Phone 2	
Fax	021-32211337
Date of Listing	12/04/1949
Email	
URL	
Registrar	
	
Representative	Mr. Muhammad Zahid
Designation	Chief Executive
Company	Zahidjee Textile Mills Limited
Address	"Zahidjee House, 2-H, Gulberg-II , Jail Road,Lahore"
Phone	042-35777290-7
Phone 2	
Fax	042-35777297
Date of Listing	02/09/1957
Email	zahidjee@zahidjee.com.pk
URL	www.zahidjee.com.pk
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Javed Zahur
Designation	Chief Executive
Company	Zahur Cotton Mills Limited
Address	"94th KM, Lahore - Multan Road, , Near Pul Jaurian, Akhtarabad, Distt. Okara,,Lahore"
Phone	042-35752609-35753529
Phone 2	042-3873966
Fax	042-35712261
Date of Listing	01/06/1992
Email	
URL	
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Abdul Majeed Ghaziani
Designation	Chief Executive
Company	Agro Allianz Limited
Address	"Unity Tower, 8-C, P.E.C.H.S , Block-6,Karachi"
Phone	021-34373605-7
Phone 2	
Fax	021-34373608
Date of Listing	04/06/1970
Email	info@agroallianz.com.pk
URL	www.agroallianz.com.pk
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Nadeem Elahi Sheikh
Designation	Chief Executive
Company	Ali Asghar Textile Mills Limited
Address	"Room No. 306-308, Unitower , I.I. Chundrigar Road,Karachi"
Phone	021-32416060-62
Phone 2	
Fax	021-32416063
Date of Listing	09/08/1968
Email	aatml@cyber.net.pk
URL	www.aatml.com.pk
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Khurram Iftikhar
Designation	Chief Executive
Company	Amtex Limited
Address	"1-KM. Khurrianwala , Jaranwala Road,Faisalabad"
Phone	041-4361724
Phone 2	041-2428507
Fax	"041-4361726-27, 2428512"
Date of Listing	13/04/2010
Email	info@amtextile.com
URL	www.amtextile.com
Registrar	Vision Consulting Limited
	
Representative	Mr. Farooq Ibrahim
Designation	Chief Executive
Company	Annoor Textile Mills Limited
Address	"901, 9th Floor, Business Centre , Mumtaz Hassan Road,Karachi"
Phone	021-2400991-96
Phone 2	
Fax	021-2418258 - 2414560
Date of Listing	13/07/1970
Email	
URL	
Registrar	
	
Representative	Mr. Abdul Rehman Zahur
Designation	Chief Executive
Company	Apollo Textile Mills Limited
Address	"14th Floor, BRR Tower , I.I. Chundrigar Road,Karachi"
Phone	+92 300 8222818
Phone 2	111-276-556
Fax	
Date of Listing	27/08/1990
Email	info@apollotextile.com
URL	www.apollotextile.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Zahid Anwar
Designation	Chief Executive
Company	Asim Textile Mills Limited
Address	"J. K. House , 32-W, Susan Road, Madina Town,Faisalabad"
Phone	041-8721955-56
Phone 2	041-8556615-16
Fax	041-8712399
Date of Listing	28/12/1991
Email	sales@jkhouse.biz
URL	www.asimtextile.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mian Tanvir Ahmed Sheikh
Designation	Chief Executive/Managing Director
Company	Allawasaya Textile & Finishing Mills Limited
Address	"Allawasaya Square,42, Vehari Road , Mumtazabad Industrial Area,Multan"
Phone	061-4233624-26
Phone 2	
Fax	061-6525202
Date of Listing	15/10/1968
Email	atm@allawasaya.com
URL	www.allawasaya.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Mohammed Hafiz Azmat Sheikh
Designation	Chief Executive
Company	Azmat Textile Mills Limited
Address	"240 Staff Lines , Fatima Jinnah Road,Karachi"
Phone	
Phone 2	
Fax	
Date of Listing	15/10/1968
Email	azmatgoc@hotmail.com
URL	
Registrar	
	
Representative	Mr. Muhammad Iftikhar Ali
Designation	Chief Executive
Company	Babri Cotton Mills Limited
Address	"Habibabad , Kohat,Khyber Pakhtoonkhwa"
Phone	0922-862285
Phone 2	0922-862284
Fax	0922-862283
Date of Listing	07/08/1972
Email	info@bcm.com.pk
URL	www.bcm.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mian Naeem Omer
Designation	Chairman / Chief Executive
Company	Bilal Fibres Limited
Address	"109-A, Street No.3, Cavalry Ground , Lahore Cantt.,Lahore"
Phone	042-36672423-25
Phone 2	
Fax	042-36672426
Date of Listing	23/10/1991
Email	fm@bilalfibres.com
URL	www.bilalfibres.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Abid Mehmood
Designation	Chief Executive Officer
Company	Crescent Cotton Mills Limited
Address	"New Lahore Road , Nishatabad,Faisalabad"
Phone	041-8752111-14
Phone 2	
Fax	041-8750366
Date of Listing	30/11/1965
Email	info@crescentcotton.com
URL	www.crescentcotton.com
Registrar	Vision Consulting Limited
	
Representative	Mr. Imran Maqbool
Designation	Chief Executive
Company	Crescent Fibres Limited
Address	"104, Shadman-1 , ,Lahore"
Phone	042-3596-0871-4
Phone 2	
Fax	042-37560963 - 35960004
Date of Listing	25/03/1979
Email	lo@crescentfibres.com
URL	www.crescentfibres.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Fareed Mughis Sheikh
Designation	Chief Executive
Company	Colony Textile Mills Limited
Address	"M. Ismail Aiwan-e-Science Building , 205, Ferozepur Road,Lahore"
Phone	042-111-265-669
Phone 2	042-35758970-2
Fax	042-35763247
Date of Listing	23/07/2014
Email	corporate@colonytextiles.com
URL	www.colonytextiles.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Khawaja Mohammed Jahangir
Designation	Chief Executive
Company	Chakwal Spinning Mills Limited
Address	"7/1-E-3, Main Boulevard , Gulberg-III,Lahore"
Phone	042-35757108
Phone 2	
Fax	042-35764043
Date of Listing	29/01/1990
Email	chakwalg@gmail.com
URL	www.chakwalspinningmills.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Muhammad Hasan Nawaz
Designation	Chief Executive
Company	Data Textiles Limited
Address	"Office No.505, 5th Floor, LSE Plaza, , Khayaban-e-Aiwan-e-Iqbal,Lahore"
Phone	042-36304408
Phone 2	
Fax	
Date of Listing	28/12/1991
Email	contact@datatextile.com
URL	www.datatextile.com
Registrar	
	
Representative	Dewan Abdul Baqi Farooqui
Designation	Chief Executive Officer
Company	Dewan Farooque Spinning Mills Limited
Address	"Dewan Centre, 3-A, Lalazar , Beach Hotel Road,Karachi"
Phone	111-364-111
Phone 2	
Fax	021-35630860
Date of Listing	06/06/2005
Email	info@yousufdewan.com
URL	www.yousufdewan.com
Registrar	BMF Consultants Pakistan (Pvt.) Ltd.
	
Representative	Shaikh Muhammad Tanveer
Designation	Chief Executive
Company	Din Textile Mills Limited
Address	"Din House, 35-A/1, Lalazar Area , Opp: Beach Luxury Hotel,Karachi"
Phone	021-35610001-3
Phone 2	
Fax	021-35610009-35610455
Date of Listing	19/06/1991
Email	dingroup@dingroup.com
URL	www.dingroup.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Ishtiaq Ahmed
Designation	Chief Executive Officer
Company	Dewan Khalid Textile Mills Limited
Address	"Dewan Centre, 3-A, Lalazar , Beach Hotel Road,Karachi"
Phone	111-364-111
Phone 2	
Fax	021-35630860
Date of Listing	10/09/1979
Email	info@yousufdewan.com
URL	www.yousufdewan.com
Registrar	BMF Consultants Pakistan (Pvt.) Ltd.
	
Representative	Mr. Ishtiaq Ahmed
Designation	Chief Executive Officer
Company	Dewan Mushtaq Textile Mills Limited
Address	"Dewan Centre, 3-A, Lalazar , Beach Hotel Road,Karachi"
Phone	111-364-111
Phone 2	
Fax	021-35630860
Date of Listing	02/07/1971
Email	info@yousufdewan.com
URL	www.yousufdewan.com
Registrar	BMF Consultants Pakistan (Pvt.) Ltd.
	
Representative	Mian Habibullah
Designation	Chief Executive
Company	D.M. Textile Mills Limited
Address	"Industrial Area, Westridge , Nai Chawni,Rawalpindi"
Phone	051-5181977-78
Phone 2	
Fax	051-5181979
Date of Listing	28/09/1966
Email	"dmtm@dmtextile.com.pk, dmtextilemills@yahoo.com"
URL	www.dmtextile.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Pervez Ahmad
Designation	Chief Executive
Company	D.S. Industries Limited
Address	"20-K , Gulberg-II,Lahore"
Phone	042-35759621
Phone 2	042-35715340
Fax	042-35710312 - 35752160
Date of Listing	21/11/2005
Email	finance@dsil.com.pk
URL	www.dsil.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Ms. Abida Mukhtar
Designation	Chief Executive
Company	Dar-es-Salaam Textile Mills Limited
Address	"House No. 37, Street No. 14, , Cavalry Ground, Lahore Cantt.,Lahore"
Phone	042-36610643-4
Phone 2	
Fax	
Date of Listing	25/05/1992
Email	info@daressalaamtextilemills.com
URL	www.daressalaamtextilemills.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Ishtiaq Ahmed
Designation	Chief Executive Officer
Company	Dewan Textile Mills Limited
Address	"Dewan Centre, 3-A, Lalazar , Beach Hotel Road,Karachi"
Phone	111-364-111
Phone 2	
Fax	35630860
Date of Listing	20/08/1971
Email	info@yousufdewan.com
URL	www.yousufdewan.com
Registrar	BMF Consultants Pakistan (Pvt.) Ltd.
	
Representative	Mr. Mahfooz Elahi
Designation	Chief Executive
Company	Elahi Cotton Mills Limited
Address	"270-Sector 1/9 , Industrial Area,Islamabad"
Phone	051-4433451-3
Phone 2	
Fax	051-4431072
Date of Listing	16/08/1974
Email	elahicotton@gmail.com
URL	www.elahicotton.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Shafqat Ellahi Sheikh
